Fold,Test session,Gate test Acc,Gate test BA,Neutral recall,Non-neutral recall
1,Session1,0.6894009216589861,0.6966257281264859,0.7213541666666666,0.6718972895863052
2,Session2,0.6344086021505376,0.6364979396695113,0.643646408839779,0.6293494704992436
3,Session3,0.6663770634231103,0.6133009927797834,0.49375,0.7328519855595668
4,Session4,0.7138700290979632,0.6607022874735502,0.5542635658914729,0.7671410090556274
5,Session5,0.6277195809830781,0.6952410905289771,0.8723958333333334,0.5180863477246208
